symbol,date,nav,shares
AGG,2003-09-22,100.92,300000.0
AGG,2003-09-23,101.04,300000.0
AGG,2003-09-24,101.4,300000.0
AGG,2003-09-25,101.53,300000.0
AGG,2003-09-26,101.88,300000.0
AGG,2003-09-29,101.68,300000.0
AGG,2003-09-30,102.25,300000.0
AGG,2003-10-01,102.26,300000.0
AGG,2003-10-02,101.98,300000.0
AGG,2003-10-03,101.19,300000.0
AGG,2003-10-06,101.44,300000.0
AGG,2003-10-07,101.08,300000.0
AGG,2003-10-08,101.16,300000.0
AGG,2003-10-09,100.98,300000.0
AGG,2003-10-10,101.2,1300000.0
AGG,2003-10-13,101.23,1300000.0
AGG,2003-10-14,100.89,1300000.0
AGG,2003-10-15,100.72,1300000.0
AGG,2003-10-16,100.41,1300000.0
AGG,2003-10-17,100.7,1300000.0
AGG,2003-10-20,100.79,1300000.0
AGG,2003-10-21,100.83,1400000.0
AGG,2003-10-22,101.14,1400000.0
AGG,2003-10-23,100.99,1400000.0
AGG,2003-10-24,101.46,1400000.0
AGG,2003-10-27,101.26,1400000.0
AGG,2003-10-28,101.62,1400000.0
AGG,2003-10-29,101.33,1500000.0
AGG,2003-10-30,101.08,1500000.0
AGG,2003-10-31,101.27,1500000.0
AGG,2003-11-03,100.67,1500000.0
AGG,2003-11-04,100.9,1500000.0
AGG,2003-11-05,100.65,1500000.0
AGG,2003-11-06,100.39,1500000.0
AGG,2003-11-07,100.26,1500000.0
AGG,2003-11-10,100.22,1500000.0
AGG,2003-11-11,100.23,1500000.0
AGG,2003-11-12,100.57,1500000.0
AGG,2003-11-13,101.24,1500000.0
AGG,2003-11-14,101.56,1500000.0
AGG,2003-11-17,101.76,1500000.0
AGG,2003-11-18,101.81,1500000.0
AGG,2003-11-19,101.5,1700000.0
AGG,2003-11-20,101.77,1700000.0
AGG,2003-11-21,101.82,1700000.0
AGG,2003-11-24,101.52,1700000.0
AGG,2003-11-25,101.68,1700000.0
AGG,2003-11-26,101.44,1700000.0
AGG,2003-11-28,101.13,1700000.0
AGG,2003-12-01,100.62,1700000.0
AGG,2003-12-02,100.71,1700000.0
AGG,2003-12-03,100.6,1700000.0
AGG,2003-12-04,100.84,1700000.0
AGG,2003-12-05,101.58,1700000.0
AGG,2003-12-08,101.32,1700000.0
AGG,2003-12-09,101.03,1700000.0
AGG,2003-12-10,101.23,1700000.0
AGG,2003-12-11,101.61,1700000.0
AGG,2003-12-12,101.62,1700000.0
AGG,2003-12-15,101.53,1900000.0
AGG,2003-12-16,101.73,1900000.0
AGG,2003-12-17,101.93,2000000.0
AGG,2003-12-18,102.13,2000000.0
AGG,2003-12-19,102.18,2000000.0
AGG,2003-12-22,102.07,2000000.0
AGG,2003-12-23,101.65,2100000.0
AGG,2003-12-24,101.97,2100000.0
AGG,2003-12-26,102.18,2100000.0
AGG,2003-12-29,101.94,2100000.0
AGG,2003-12-30,101.81,2100000.0
AGG,2003-12-31,101.61,2100000.0
AGG,2004-01-02,101.18,2100000.0
AGG,2004-01-05,101.23,2100000.0
AGG,2004-01-06,101.73,2200000.0
AGG,2004-01-07,101.83,2300000.0
AGG,2004-01-08,101.85,2700000.0
AGG,2004-01-09,102.55,2700000.0
AGG,2004-01-12,102.58,2700000.0
AGG,2004-01-13,102.78,2700000.0
AGG,2004-01-14,102.91,2700000.0
AGG,2004-01-15,102.96,2700000.0
AGG,2004-01-16,102.82,2700000.0
AGG,2004-01-20,102.69,2700000.0
AGG,2004-01-21,102.79,2800000.0
AGG,2004-01-22,103.07,2800000.0
AGG,2004-01-23,102.69,2800000.0
AGG,2004-01-26,102.4,2800000.0
AGG,2004-01-27,102.66,2800000.0
AGG,2004-01-28,102.15,2800000.0
AGG,2004-01-29,102.14,2800000.0
AGG,2004-01-30,102.39,2800000.0
AGG,2004-02-02,102.07,2800000.0
AGG,2004-02-03,102.3,2800000.0
AGG,2004-02-04,102.24,2800000.0
AGG,2004-02-05,101.99,2800000.0
AGG,2004-02-06,102.37,2800000.0
AGG,2004-02-09,102.55,2800000.0
AGG,2004-02-10,102.4,2800000.0
AGG,2004-02-11,102.81,2800000.0
AGG,2004-02-12,102.68,2800000.0
AGG,2004-02-13,102.86,2800000.0
AGG,2004-02-17,102.86,2800000.0
AGG,2004-02-18,102.88,3300000.0
AGG,2004-02-19,102.89,3300000.0
AGG,2004-02-20,102.69,3300000.0
AGG,2004-02-23,102.9,3300000.0
AGG,2004-02-24,102.97,3400000.0
AGG,2004-02-25,103.04,3400000.0
AGG,2004-02-26,102.94,3400000.0
AGG,2004-02-27,103.18,3400000.0
AGG,2004-03-01,102.92,3400000.0
AGG,2004-03-02,102.74,3400000.0
AGG,2004-03-03,102.68,3400000.0
AGG,2004-03-04,102.8,3400000.0
AGG,2004-03-05,103.61,3600000.0
AGG,2004-03-08,103.85,3600000.0
AGG,2004-03-09,104.01,3600000.0
AGG,2004-03-10,103.95,3600000.0
AGG,2004-03-11,103.92,3600000.0
AGG,2004-03-12,103.85,3600000.0
AGG,2004-03-15,103.81,3600000.0
AGG,2004-03-16,104.14,3600000.0
AGG,2004-03-17,104.18,3600000.0
AGG,2004-03-18,103.94,3600000.0
AGG,2004-03-19,103.79,3600000.0
AGG,2004-03-22,104.06,3900000.0
AGG,2004-03-23,104.1,3900000.0
AGG,2004-03-24,104.07,3900000.0
AGG,2004-03-25,104.04,3900000.0
AGG,2004-03-26,103.63,3900000.0
AGG,2004-03-29,103.45,3900000.0
AGG,2004-03-30,103.45,3900000.0
AGG,2004-03-31,103.71,4300000.0
AGG,2004-04-01,103.2,4200000.0
AGG,2004-04-02,102.23,4200000.0
AGG,2004-04-05,101.9,4200000.0
AGG,2004-04-06,102.12,4200000.0
AGG,2004-04-07,102.21,4200000.0
AGG,2004-04-08,102.09,4200000.0
AGG,2004-04-12,102.01,4200000.0
AGG,2004-04-13,101.53,4200000.0
AGG,2004-04-14,101.3,4200000.0
AGG,2004-04-15,101.24,4200000.0
AGG,2004-04-16,101.5,4200000.0
AGG,2004-04-19,101.41,4200000.0
AGG,2004-04-20,101.22,4200000.0
AGG,2004-04-21,101.08,4200000.0
AGG,2004-04-22,101.36,4200000.0
AGG,2004-04-23,100.97,4700000.0
AGG,2004-04-26,101.05,4700000.0
AGG,2004-04-27,101.2,4700000.0
AGG,2004-04-28,100.88,4700000.0
AGG,2004-04-29,100.53,4700000.0
AGG,2004-04-30,100.69,4700000.0
AGG,2004-05-03,100.39,4700000.0
AGG,2004-05-04,100.25,4700000.0
